model_key,display_name,correctness_avg,correctness_n,completeness_avg,completeness_n,clarity_avg,clarity_n,depth_avg,depth_n,usefulness_avg,usefulness_n
seed_1_6_flash,Seed 1.6 Flash,9.545,88,9.466,88,9.636,88,8.841,88,9.682,88
gemma3_27b,Gemma 3 27B,9.491,108,9.389,108,9.126,111,8.789,109,9.282,110
gpt_oss_legal,GPT-OSS-120B (Legal),9.488,80,9.088,80,9.4,80,9.3,80,9.438,80
qwen3_32b,Qwen 3 32B,9.446,101,9.109,101,9.376,101,8.426,101,9.267,101
qwen35_27b,Qwen 3.5 27B,9.386,57,9.053,57,9.526,57,8.93,57,9.14,57
grok_4_1_fast,Grok 4.1 Fast,9.329,307,9.357,308,9.531,309,8.649,308,9.23,309
gpt_codex,GPT-5.2-Codex,9.302,242,8.967,241,9.492,242,8.054,240,8.884,241
qwen3_8b,Qwen 3 8B,9.28,164,9.317,164,9.378,164,8.537,164,9.207,164
qwen35_397b_a17b,Qwen 3.5 397B-A17B,9.276,58,9.069,58,9.793,58,9.103,58,9.207,58
kimi_k25,Kimi K2.5,9.246,69,8.881,67,9.141,71,8.206,68,9.088,68
claude_opus,Claude Opus 4.5,9.243,481,9.025,482,9.536,483,8.714,482,8.986,483
phi4,Phi-4 14B,9.229,105,9.048,105,9.105,105,8.133,105,9.019,105
grok_code_fast,Grok Code Fast 1,9.179,78,9.346,78,9.41,78,8.705,78,9.397,78
claude_sonnet,Claude Sonnet 4.5,9.17,471,9.136,471,9.493,473,8.602,472,9.059,472
nemotron_3_super,Nemotron 3 Super,9.167,6,4.75,4,9.571,7,3.25,4,5.8,5
qwen35_122b_a10b,Qwen 3.5 122B-A10B,9.164,55,9.236,55,9.636,55,8.873,55,9.273,55
deepseek_v3,DeepSeek V3.2,9.137,473,9.106,473,9.418,474,8.519,474,9.013,473
judge_gpt54,GPT-5.4,9.133,90,8.833,90,9.511,90,9.089,90,8.922,90
devstral,Devstral Small,9.131,107,8.822,107,9.047,107,7.785,107,8.832,107
qwen35_35b_a3b,Qwen 3.5 35B-A3B,9.123,57,9.158,57,9.596,57,9.018,57,9.053,57
gpt_5_4,GPT-5.4,9.108,1619,8.871,1618,9.326,1619,8.538,1618,8.919,1611
gemini_2_5_flash,Gemini 2.5 Flash,9.077,233,8.794,233,9.266,233,8.579,233,8.888,233
gemini_2_5_flash_lite,Gemini 2.5 Flash-Lite,9.072,83,8.687,83,9.321,84,8.195,82,9.037,82
qwen3_coder_next,Qwen 3 Coder Next,8.983,58,7.776,58,9.207,58,8.121,58,8.224,58
grok_direct,Grok 3 (Direct),8.899,306,9.085,306,9.425,306,8.324,306,8.797,306
mistral_small_creative,Mistral Small Creative,8.816,423,9.409,423,9.359,423,8.567,423,9.214,416
llama4_scout,Llama 4 Scout,8.812,112,8.527,112,8.75,112,7.554,112,8.518,112
granite_40,Granite 4.0 Micro,8.78,109,8.523,109,8.827,110,7.431,109,8.394,109
gemini_3_flash,Gemini 3 Flash Preview,8.764,1372,8.812,1371,9.294,1372,8.293,1370,8.807,1357
judge_claude_sonnet,Claude Sonnet 4.6,8.761,88,8.284,88,9.227,88,8.795,88,8.386,88
mistral_nemo,Mistral Nemo 12B,8.714,105,8.543,105,8.876,105,7.371,105,8.663,104
gpt_oss_120b,GPT-OSS-120B,8.675,1930,8.494,1918,9.163,1935,8.317,1909,8.496,1899
claude_opus_46,Claude Opus 4.6,8.644,1614,8.233,1612,9.033,1614,8.394,1612,8.317,1606
grok_420,Grok 4.20,8.636,1573,8.893,1568,9.215,1577,8.327,1569,8.789,1557
minimax_m27,MiniMax M2.7,8.59,61,8,61,8.984,61,8.361,61,8.295,61
claude_sonnet_46,Claude Sonnet 4.6,8.589,1612,8.142,1611,9.06,1611,8.389,1611,8.283,1602
minimax_m1,MiniMax M1,8.581,62,8,62,9.032,62,8.306,62,8.242,62
glm_4_7,GLM 4.7,8.556,133,7.992,129,8.971,136,7.984,125,8.736,125
seed_16_flash,Seed 1.6 Flash,8.497,336,8.583,336,9.164,336,7.946,336,8.693,332
mimo_v2_flash,MiMo-V2-Flash,8.416,1923,8.578,1921,9.081,1922,8.083,1918,8.4,1906
qwen35_9b,Qwen 3.5 9B,8.381,42,7.595,42,9.19,42,8,42,7.833,42
olmo_think,Olmo 3.1 32B Think,8.327,49,8.298,47,8.822,45,8.364,44,8.311,45
deepseek_v4,DeepSeek V3,8.211,1608,8.259,1607,9.024,1608,7.54,1607,8.247,1581
minimax_m25,MiniMax M2.5,8.17,932,7.822,925,8.719,937,7.543,923,7.856,918
minimax_m21,MiniMax M2.1,8.143,42,6.476,42,8.476,42,7.143,42,7.143,42
llama31_8b,Llama 3.1 8B,8.075,107,7.617,107,8.303,109,6.645,107,7.639,108
gemini_3_pro,Gemini 3 Pro Preview,7.884,380,6.68,375,8.183,383,7.019,369,7.103,370
minimax_01,MiniMax-01,7.846,91,8,91,8.813,91,7.363,91,7.934,91
minimax_m2,MiniMax M2,7.814,97,7.179,95,8.242,99,7.16,94,7.436,94
gemini_25_flash,Gemini 2.5 Flash,7.79,300,7.243,300,8.4,300,7.41,300,7.154,299
gemini_31_pro,Gemini 3.1 Pro,7.029,1576,5.789,1548,7.562,1584,6.302,1548,6.329,1542
gemma_3n_4b,Gemma 3n 4B,5.0,2,4.5,2,6.333,3,4.0,2,4.5,2
